 - Year-Month,AVERAGE of NO,AVERAGE of NE,AVERAGE of CE,AVERAGE of SE,AVERAGE of SW,AVERAGE of CW,AVERAGE of NW
2002-Apr,1.94E+02,5.96E+01,4.65E+02,3.49E+02,4.43E+02,2.35E+02,3.98E+02
2002-May,1.90E+02,7.31E+01,4.40E+02,3.54E+02,4.43E+02,2.47E+02,4.18E+02
2002-Aug,1.71E+02,3.22E+01,3.46E+02,2.91E+02,4.00E+02,2.22E+02,3.96E+02
2002-Sep,1.43E+02,5.60E+01,3.41E+02,2.68E+02,3.97E+02,2.09E+02,3.66E+02
2002-Oct,1.62E+02,3.78E+01,4.18E+02,2.93E+02,4.02E+02,1.98E+02,3.82E+02
2002-Nov,1.80E+02,4.54E+01,3.88E+02,2.64E+02,4.58E+02,2.40E+02,3.93E+02
2002-Dec,1.82E+02,5.23E+01,3.99E+02,3.70E+02,3.88E+02,2.09E+02,3.82E+02
2003-Jan,1.85E+02,4.65E+01,3.81E+02,3.46E+02,4.21E+02,2.66E+02,3.77E+02
2003-Feb,1.66E+02,5.85E+01,4.44E+02,3.81E+02,4.01E+02,1.79E+02,3.57E+02
2003-Mar,1.81E+02,2.98E+01,4.65E+02,3.45E+02,4.65E+02,2.26E+02,3.70E+02
2003-Apr,1.72E+02,4.97E+01,4.67E+02,3.96E+02,4.60E+02,2.26E+02,3.56E+02
2003-May,1.77E+02,4.70E+01,5.14E+02,3.71E+02,4.78E+02,2.09E+02,3.68E+02
2003-Jul,1.53E+02,1.93E+01,4.44E+02,3.48E+02,4.18E+02,1.85E+02,3.39E+02
2003-Aug,1.36E+02,5.35E-01,4.11E+02,3.44E+02,3.58E+02,1.86E+02,3.51E+02
2003-Sep,1.35E+02,1.25E+01,3.81E+02,3.45E+02,3.31E+02,1.99E+02,3.61E+02
2003-Oct,1.45E+02,3.19E+00,3.69E+02,3.34E+02,3.56E+02,2.22E+02,3.67E+02
2003-Nov,1.39E+02,3.07E+01,3.93E+02,3.39E+02,3.26E+02,1.70E+02,3.51E+02
2003-Dec,1.46E+02,8.64E-01,3.93E+02,3.44E+02,3.44E+02,1.83E+02,3.68E+02
2004-Jan,1.46E+02,9.32E+00,4.09E+02,3.41E+02,3.60E+02,1.75E+02,3.56E+02
2004-Feb,1.42E+02,2.18E+01,3.76E+02,3.52E+02,3.71E+02,2.00E+02,3.49E+02
2004-Mar,1.45E+02,1.07E+01,4.12E+02,3.43E+02,3.84E+02,1.98E+02,3.42E+02
2004-Apr,1.44E+02,1.60E+01,4.47E+02,3.22E+02,4.14E+02,1.89E+02,3.45E+02
2004-May,1.35E+02,9.28E-01,4.14E+02,3.50E+02,4.04E+02,1.96E+02,3.27E+02
2004-Jun,1.48E+02,5.89E+00,4.10E+02,3.40E+02,4.02E+02,1.96E+02,3.34E+02
2004-Jul,1.29E+02,2.80E+01,3.75E+02,3.29E+02,3.76E+02,1.79E+02,3.16E+02
2004-Aug,1.10E+02,1.82E+01,3.39E+02,3.37E+02,3.19E+02,1.85E+02,3.08E+02
2004-Sep,1.18E+02,1.89E+01,3.41E+02,3.02E+02,3.30E+02,1.69E+02,3.18E+02
2004-Oct,1.22E+02,-6.68E+00,3.58E+02,2.68E+02,3.00E+02,1.59E+02,3.21E+02
2004-Nov,1.26E+02,-8.35E+00,3.18E+02,2.72E+02,3.25E+02,1.95E+02,3.40E+02
2004-Dec,1.36E+02,-6.35E+00,3.67E+02,2.50E+02,3.61E+02,1.82E+02,3.48E+02
2005-Jan,1.33E+02,8.15E+00,3.34E+02,2.81E+02,3.57E+02,1.93E+02,3.34E+02
2005-Feb,1.33E+02,8.86E+00,3.40E+02,2.42E+02,4.17E+02,2.00E+02,3.30E+02
2005-Mar,1.36E+02,2.63E-01,3.36E+02,2.69E+02,3.83E+02,2.20E+02,3.41E+02
2005-Apr,1.33E+02,-1.71E+01,3.54E+02,2.29E+02,4.44E+02,2.21E+02,3.47E+02
2005-May,1.37E+02,-1.65E+00,3.52E+02,2.62E+02,4.10E+02,2.04E+02,3.48E+02
2005-Jun,1.26E+02,2.38E+01,3.29E+02,2.56E+02,4.25E+02,2.07E+02,3.43E+02
2005-Jul,1.07E+02,6.33E+00,3.12E+02,2.22E+02,4.06E+02,1.99E+02,3.38E+02
2005-Aug,9.37E+01,-8.59E+00,2.54E+02,2.08E+02,3.34E+02,1.76E+02,3.09E+02
2005-Sep,9.36E+01,-7.76E+00,2.22E+02,2.09E+02,2.96E+02,1.59E+02,2.97E+02
2005-Oct,1.03E+02,-2.54E+01,2.17E+02,1.89E+02,3.16E+02,1.72E+02,3.08E+02
2005-Nov,9.11E+01,2.36E+00,2.25E+02,1.91E+02,3.37E+02,1.76E+02,2.96E+02
2005-Dec,1.20E+02,-1.47E+01,2.67E+02,2.57E+02,2.76E+02,1.62E+02,3.07E+02
2006-Jan,1.08E+02,2.21E+01,2.47E+02,2.18E+02,3.16E+02,1.52E+02,2.89E+02
2006-Feb,9.50E+01,1.37E+01,2.75E+02,1.74E+02,3.61E+02,1.64E+02,2.89E+02
2006-Mar,1.02E+02,2.14E+01,2.76E+02,2.05E+02,3.49E+02,1.64E+02,2.81E+02
2006-Apr,9.77E+01,1.47E+01,2.77E+02,1.92E+02,3.64E+02,1.72E+02,2.80E+02
2006-May,1.03E+02,2.32E+01,2.71E+02,1.98E+02,3.82E+02,1.69E+02,2.72E+02
2006-Jun,1.16E+02,2.85E+01,2.52E+02,1.59E+02,4.12E+02,1.86E+02,2.70E+02
2006-Jul,1.06E+02,2.94E+01,2.51E+02,1.63E+02,3.43E+02,1.51E+02,2.73E+02
2006-Aug,9.59E+01,2.15E+01,2.11E+02,1.43E+02,2.92E+02,1.44E+02,2.47E+02
2006-Sep,9.78E+01,1.15E+01,1.88E+02,1.26E+02,3.02E+02,1.54E+02,2.47E+02
2006-Oct,1.03E+02,2.24E+01,2.01E+02,1.50E+02,2.58E+02,1.41E+02,2.53E+02
2006-Nov,1.15E+02,2.79E+01,1.79E+02,1.22E+02,3.11E+02,1.52E+02,2.48E+02
2006-Dec,1.24E+02,2.18E+01,1.50E+02,1.20E+02,3.06E+02,1.58E+02,2.45E+02
2007-Jan,1.11E+02,2.48E+01,1.94E+02,1.21E+02,3.02E+02,1.54E+02,2.35E+02
2007-Feb,1.15E+02,2.95E+01,1.93E+02,1.64E+02,2.71E+02,1.40E+02,2.55E+02
2007-Mar,1.14E+02,5.12E+01,1.93E+02,1.63E+02,3.04E+02,1.36E+02,2.33E+02
2007-Apr,1.27E+02,2.54E+01,2.27E+02,1.56E+02,3.16E+02,1.31E+02,2.32E+02
2007-May,1.18E+02,4.63E+01,1.87E+02,1.76E+02,3.10E+02,1.46E+02,2.20E+02
2007-Jun,1.18E+02,3.03E+01,1.99E+02,1.81E+02,2.76E+02,1.36E+02,2.26E+02
2007-Jul,1.10E+02,1.91E+01,1.70E+02,1.27E+02,2.52E+02,1.13E+02,2.13E+02
2007-Aug,9.09E+01,3.88E+01,9.60E+01,1.14E+02,2.20E+02,1.10E+02,1.91E+02
2007-Sep,1.04E+02,2.45E+01,7.22E+01,1.01E+02,2.15E+02,1.10E+02,1.74E+02
2007-Oct,1.04E+02,1.79E+01,9.58E+01,1.03E+02,1.83E+02,9.69E+01,1.73E+02
2007-Nov,9.54E+01,1.07E+01,8.59E+01,1.27E+02,1.82E+02,1.08E+02,1.70E+02
2007-Dec,1.03E+02,1.50E+01,8.45E+01,1.23E+02,2.10E+02,1.12E+02,1.80E+02
2008-Jan,1.05E+02,1.72E+01,1.19E+02,1.14E+02,2.35E+02,1.11E+02,1.68E+02
2008-Feb,1.04E+02,3.23E+01,1.28E+02,1.27E+02,2.47E+02,1.08E+02,1.79E+02
2008-Mar,1.10E+02,2.72E+01,1.63E+02,1.64E+02,2.04E+02,1.03E+02,1.84E+02
2008-Apr,1.01E+02,3.69E+01,1.53E+02,1.22E+02,2.55E+02,9.66E+01,1.57E+02
2008-May,8.13E+01,5.16E+01,1.64E+02,1.15E+02,2.24E+02,9.20E+01,1.40E+02
2008-Jun,8.51E+01,3.71E+01,1.73E+02,9.55E+01,2.45E+02,9.35E+01,1.44E+02
2008-Jul,6.83E+01,1.21E+01,1.33E+02,1.13E+02,1.93E+02,9.51E+01,1.45E+02
2008-Aug,4.27E+01,9.26E+00,1.07E+02,7.86E+01,1.38E+02,7.63E+01,1.28E+02
2008-Sep,4.02E+01,-1.16E+01,1.18E+02,5.80E+01,1.20E+02,6.99E+01,1.26E+02
2008-Oct,3.55E+01,8.18E+00,1.01E+02,6.47E+01,1.16E+02,7.82E+01,1.03E+02
2008-Nov,3.48E+01,2.50E+01,1.19E+02,5.30E+01,1.71E+02,8.17E+01,1.02E+02
2008-Dec,4.26E+01,2.18E+01,1.30E+02,1.40E+02,1.37E+02,8.10E+01,1.11E+02
2009-Jan,4.97E+01,1.57E+01,1.58E+02,8.23E+01,2.15E+02,1.08E+02,1.25E+02
2009-Feb,4.52E+01,-5.92E+00,1.22E+02,1.15E+02,1.91E+02,1.04E+02,1.05E+02
2009-Mar,3.59E+01,1.44E+01,1.43E+02,1.08E+02,1.90E+02,7.66E+01,9.08E+01
2009-Apr,3.98E+01,5.27E+00,1.29E+02,8.87E+01,2.03E+02,7.83E+01,9.59E+01
2009-May,3.76E+01,7.47E+00,1.64E+02,8.57E+01,2.47E+02,7.85E+01,7.89E+01
2009-Jun,5.74E+01,-1.62E+00,1.44E+02,8.00E+01,2.45E+02,8.09E+01,1.00E+02
2009-Jul,4.35E+01,8.81E+00,1.57E+02,1.14E+02,1.65E+02,4.29E+01,8.74E+01
2009-Aug,1.40E+01,-7.32E+00,7.98E+01,4.75E+01,1.42E+02,4.31E+01,3.85E+01
2009-Sep,1.37E+01,-6.52E+00,5.07E+01,4.39E+01,1.23E+02,4.65E+01,4.29E+01
2009-Oct,1.24E+01,-2.01E+00,8.75E+01,3.10E+01,1.44E+02,5.51E+01,4.16E+01
2009-Nov,7.22E+00,2.89E+01,1.25E+02,5.64E+01,1.03E+02,3.21E+01,2.17E+01
2009-Dec,2.30E+01,1.49E+01,1.12E+02,9.10E+01,1.25E+02,2.95E+01,3.69E+01
2010-Jan,1.57E+01,7.27E+00,8.48E+01,9.17E+01,1.28E+02,5.83E+01,5.30E+01
2010-Feb,9.25E+00,-3.65E+00,1.20E+02,5.50E+01,1.64E+02,3.10E+01,4.46E+01
2010-Mar,1.11E+01,2.44E+00,8.84E+01,8.05E+01,1.73E+02,7.12E+01,3.02E+01
2010-Apr,9.17E+00,9.75E+00,1.22E+02,6.70E+01,1.82E+02,4.78E+01,2.32E+01
2010-May,2.81E+01,-9.29E+00,7.71E+01,9.72E+01,1.67E+02,7.66E+01,3.54E+01
2010-Jun,3.16E+01,-2.90E+00,8.45E+01,8.92E+01,1.29E+02,2.38E+01,1.78E+01
2010-Jul,-1.17E+01,-1.27E+00,6.74E+01,1.73E+01,7.17E+01,7.68E+00,-5.28000000E+00
2010-Aug,-1.81E+01,-2.17E+01,-5.32E-01,9.30E+00,1.11E+01,-9.71E-01,-1.59000000E+01
2010-Sep,-1.94E+01,-1.83E+01,5.60E+00,1.17E+00,-5.45E+01,-1.65E+01,-1.67000000E+01
2010-Oct,-6.82E-01,-2.12E+01,8.08E+00,6.38E+00,-3.96E+01,1.71E+00,-1.70000000E+01
2010-Nov,2.71E+00,-6.52E+00,2.74E+01,-6.45E+00,-3.24E+01,-2.15E+01,-2.27000000E+01
2010-Dec,1.25E+00,-1.51E+00,-1.60E+01,-5.35E+00,-4.12E+01,-1.32E+01,-5.81000000E+00
2011-Feb,4.30E+00,-1.76E+01,-1.51E-02,-6.34E+00,2.03E+01,1.42E+01,5.34E-02
2011-Mar,1.35E+01,-1.41E+01,1.86E+01,-3.81E+01,4.37E+01,5.74E+00,-1.34000000E+01
2011-Apr,1.45E+01,-1.32E+01,1.96E+01,-8.10E+00,2.09E+01,1.24E+01,-1.20000000E+01
2011-May,6.81E+00,-3.49E+00,1.63E+01,8.34E+00,-1.50E+01,-9.57E+00,-2.00000000E+01
2011-Jul,-2.04E+01,8.34E-01,-2.90E+01,-2.02E+01,-6.95E+01,-1.88E+01,-6.28000000E+01
2011-Aug,-4.58E+01,-1.17E+01,-5.34E+01,-3.43E+01,-1.30E+02,-4.73E+01,-6.59000000E+01
2011-Sep,-4.25E+01,-1.10E+01,-6.47E+01,-3.39E+01,-1.50E+02,-6.26E+01,-7.27000000E+01
2011-Oct,-4.57E+01,-2.47E+01,-5.11E+01,-8.92E+01,-1.29E+02,-6.60E+01,-7.26500000E+01
2011-Dec,-4.60E+01,-1.02E+01,-3.54E+01,-9.15E+01,-9.64E+01,-6.51E+01,-8.28000000E+01
2012-Jan,-4.84E+01,-1.37E+01,-2.50E+01,-5.97E+01,-1.30E+02,-6.58E+01,-8.62000000E+01
2012-Feb,-4.45E+01,-7.04E+00,-3.68E+01,-6.68E+00,-1.48E+02,-6.55E+01,-9.30000000E+01
2012-Mar,-2.54E+01,-1.33E+01,-5.54E+00,-6.94E+01,-8.34E+01,-6.20E+01,-9.10000000E+01
2012-Apr,-2.65E+01,-1.14E+01,-2.77E+01,-6.32E+01,-6.78E+01,-5.23E+01,-9.31000000E+01
2012-Jun,-4.74E+01,6.99E+00,5.42E+00,-6.80E+01,-9.72E+01,-6.67E+01,-1.16000000E+02
2012-Jul,-6.00E+01,3.48E+00,-7.90E+01,-5.53E+01,-1.45E+02,-7.03E+01,-1.13000000E+02
2012-Aug,-9.06E+01,-2.09E+01,-1.48E+02,-9.48E+01,-2.89E+02,-1.08E+02,-1.47000000E+02
2012-Sep,-9.54E+01,-2.33E+01,-1.59E+02,-1.52E+02,-3.30E+02,-1.32E+02,-1.41000000E+02
2012-Nov,-8.58E+01,-3.47E+01,-1.89E+02,-1.05E+02,-3.16E+02,-1.02E+02,-1.26000000E+02
2012-Dec,-8.56E+01,-3.05E+01,-1.71E+02,-1.22E+02,-2.79E+02,-1.01E+02,-1.33000000E+02
2013-Jan,-8.19E+01,-2.12E+01,-1.58E+02,-9.52E+01,-2.73E+02,-1.16E+02,-1.45000000E+02
2013-Feb,-8.59E+01,-3.60E+01,-1.55E+02,-1.12E+02,-2.50E+02,-1.12E+02,-1.55000000E+02
