 - Year-Month,AVERAGE of NO,AVERAGE of NE,AVERAGE of CE,AVERAGE of SE,AVERAGE of SW,AVERAGE of CW,AVERAGE of NW
2013-Apr,-9.38E+01,-1.11E+01,-1.38E+02,-6.29E+01,-2.98E+02,-1.39E+02,-1.77000000E+02
2013-May,-8.36E+01,-2.46E+01,-1.35E+02,-8.30E+01,-2.43E+02,-1.10E+02,-1.63000000E+02
2013-Jun,-7.31E+01,-2.04E+01,-1.44E+02,-1.10E+02,-1.98E+02,-9.35E+01,-1.61000000E+02
2013-Jul,-8.52E+01,-4.31E+01,-1.75E+02,-1.13E+02,-2.30E+02,-1.32E+02,-1.78000000E+02
2013-Oct,-9.66E+01,-1.53E+01,-2.12E+02,-1.11E+02,-3.05E+02,-1.16E+02,-1.71000000E+02
2013-Nov,-7.61E+01,-1.91E+01,-2.12E+02,-1.50E+02,-2.59E+02,-1.24E+02,-1.81000000E+02
2013-Dec,-7.62E+01,-2.46E+01,-1.87E+02,-1.44E+02,-2.43E+02,-1.21E+02,-1.79000000E+02
2014-Jan,-8.71E+01,-2.28E+00,-1.66E+02,-1.06E+02,-2.95E+02,-1.44E+02,-1.92000000E+02
2014-Mar,-8.37E+01,-1.38E+01,-1.49E+02,-1.34E+02,-2.12E+02,-1.38E+02,-2.09000000E+02
2014-Apr,-8.11E+01,-1.49E+01,-1.33E+02,-9.02E+01,-2.37E+02,-1.56E+02,-2.15000000E+02
2014-May,-7.31E+01,-2.58E+01,-1.38E+02,-7.29E+01,-2.20E+02,-1.39E+02,-2.08000000E+02
2014-Jun,-7.19E+01,-2.88E+01,-1.39E+02,-8.39E+01,-2.54E+02,-1.44E+02,-2.08000000E+02
2014-Aug,-1.20E+02,-1.43E+01,-2.03E+02,-1.15E+02,-3.76E+02,-1.97E+02,-2.55000000E+02
2014-Sep,-1.08E+02,-3.28E+01,-2.24E+02,-1.43E+02,-3.38E+02,-1.71E+02,-2.34000000E+02
2014-Oct,-1.08E+02,-1.84E+01,-2.11E+02,-1.31E+02,-3.58E+02,-1.78E+02,-2.39000000E+02
2014-Nov,-1.08E+02,-1.44E+01,-2.03E+02,-1.49E+02,-3.35E+02,-1.64E+02,-2.49000000E+02
2015-Jan,-9.91E+01,1.66E+01,-1.49E+02,-6.81E+01,-4.27E+02,-2.04E+02,-2.59000000E+02
2015-Feb,-1.09E+02,1.06E+01,-1.49E+02,-1.18E+02,-3.22E+02,-1.86E+02,-2.58000000E+02
2015-Mar,-1.01E+02,2.06E+01,-1.48E+02,-1.20E+02,-3.08E+02,-1.78E+02,-2.77000000E+02
2015-Apr,-9.83E+01,6.71E+00,-1.29E+02,-1.16E+02,-3.27E+02,-1.91E+02,-2.79000000E+02
2015-Jul,-1.34E+02,-1.55E+01,-1.76E+02,-1.40E+02,-3.42E+02,-2.11E+02,-3.09000000E+02
2015-Aug,-1.50E+02,-2.95E+01,-1.95E+02,-1.54E+02,-3.58E+02,-2.26E+02,-3.21000000E+02
2015-Sep,-1.65E+02,-1.89E+01,-1.95E+02,-1.62E+02,-3.82E+02,-2.27E+02,-3.40000000E+02
2015-Dec,-1.55E+02,-8.01E+00,-1.77E+02,-1.37E+02,-3.67E+02,-2.01E+02,-3.53000000E+02
2016-Jan,-1.56E+02,1.57E+01,-1.09E+02,-1.58E+02,-3.31E+02,-2.19E+02,-3.54000000E+02
2016-Feb,-1.58E+02,-6.61E+00,-1.41E+02,-1.55E+02,-3.33E+02,-2.39E+02,-3.51000000E+02
2016-Mar,-1.50E+02,-4.08E+00,-1.70E+02,-1.49E+02,-3.04E+02,-2.18E+02,-3.52000000E+02
2016-May,-1.47E+02,-2.45E+01,-1.29E+02,-1.40E+02,-3.07E+02,-2.03E+02,-3.37000000E+02
2016-Jun,-1.43E+02,-3.22E+01,-1.70E+02,-1.38E+02,-3.00E+02,-1.91E+02,-3.32000000E+02
2016-Jul,-1.64E+02,-4.21E+01,-2.05E+02,-1.47E+02,-3.60E+02,-2.15E+02,-3.50000000E+02
2016-Aug,-1.81E+02,-3.76E+01,-2.89E+02,-1.62E+02,-4.77E+02,-2.53E+02,-3.73000000E+02
2016-Nov,-1.64E+02,-3.72E+01,-2.04E+02,-1.47E+02,-4.45E+02,-2.21E+02,-3.75000000E+02
2016-Dec,-1.97E+02,-1.66E+01,-1.96E+02,-1.26E+02,-5.05E+02,-2.44E+02,-4.13000000E+02
2017-Jan,-1.65E+02,-7.04E+00,-1.19E+02,-1.95E+02,-4.01E+02,-2.56E+02,-3.93000000E+02
2017-Mar,-1.56E+02,-8.18E+00,-1.58E+02,-1.93E+02,-3.87E+02,-2.74E+02,-4.16000000E+02
2017-Apr,-1.72E+02,-1.12E+01,-1.41E+02,-1.38E+02,-4.09E+02,-2.66E+02,-4.11000000E+02
2017-May,-1.80E+02,-2.27E+01,-1.39E+02,-1.68E+02,-3.82E+02,-2.56E+02,-4.13000000E+02
2017-Jun,-1.64E+02,-3.54E+01,-1.42E+02,-1.88E+02,-4.07E+02,-2.60E+02,-4.08000000E+02
2018-Jun,-1.82E+02,-2.38E+01,-1.30E+02,-1.90E+02,-4.34E+02,-2.56E+02,-4.46000000E+02
2018-Jul,-1.84E+02,2.98E+01,-1.16E+02,-1.96E+02,-4.56E+02,-3.12E+02,-4.81000000E+02
2018-Oct,-1.95E+02,1.71E+01,-1.81E+02,-2.18E+02,-5.07E+02,-3.08E+02,-4.74000000E+02
2018-Nov,-2.03E+02,1.36E+01,-2.13E+02,-2.10E+02,-5.03E+02,-2.83E+02,-4.79000000E+02
2018-Dec,-1.80E+02,1.02E+01,-1.96E+02,-1.99E+02,-4.71E+02,-2.88E+02,-4.60000000E+02
2019-Jan,-1.96E+02,2.12E+01,-1.46E+02,-1.88E+02,-4.90E+02,-3.09E+02,-4.72000000E+02
2019-Feb,-1.94E+02,-6.62E+00,-1.64E+02,-2.08E+02,-4.45E+02,-2.82E+02,-4.83000000E+02
2019-Mar,-1.97E+02,-4.87E+00,-1.64E+02,-2.02E+02,-4.38E+02,-2.94E+02,-4.96000000E+02
2019-Apr,-2.06E+02,-2.49E+01,-1.86E+02,-1.78E+02,-4.48E+02,-2.66E+02,-4.92000000E+02
2019-May,-2.13E+02,-1.69E+01,-1.65E+02,-1.37E+02,-4.91E+02,-3.10E+02,-5.07000000E+02
2019-Jun,-2.04E+02,-1.30E+01,-1.52E+02,-2.00E+02,-4.42E+02,-3.25E+02,-5.03000000E+02
2019-Jul,-2.34E+02,-3.17E+01,-2.48E+02,-1.94E+02,-4.87E+02,-3.16E+02,-5.32000000E+02
2019-Aug,-2.61E+02,-2.59E+01,-2.34E+02,-2.55E+02,-5.55E+02,-3.84E+02,-5.48000000E+02
2019-Sep,-2.78E+02,-2.56E+01,-2.86E+02,-2.43E+02,-6.01E+02,-3.70E+02,-5.92000000E+02
2019-Oct,-2.73E+02,-2.67E+01,-3.08E+02,-2.03E+02,-6.64E+02,-3.61E+02,-5.85000000E+02
2019-Nov,-2.53E+02,-3.43E+01,-2.95E+02,-1.86E+02,-6.71E+02,-3.77E+02,-5.56000000E+02
2019-Dec,-2.49E+02,-3.93E+01,-2.76E+02,-2.35E+02,-5.75E+02,-3.54E+02,-5.49000000E+02
2020-Jan,-2.51E+02,-1.73E+01,-2.83E+02,-2.70E+02,-5.41E+02,-3.60E+02,-5.67000000E+02
2020-Feb,-2.66E+02,-1.11E+01,-3.00E+02,-2.50E+02,-5.63E+02,-3.44E+02,-5.85000000E+02
2020-Mar,-2.74E+02,-1.35E+01,-3.03E+02,-2.27E+02,-6.16E+02,-3.65E+02,-5.98000000E+02
2020-Apr,-2.64E+02,-1.96E+01,-3.19E+02,-2.12E+02,-5.98E+02,-3.64E+02,-5.93000000E+02
2020-May,-2.53E+02,-2.84E+01,-3.22E+02,-1.69E+02,-6.00E+02,-3.48E+02,-5.78000000E+02
2020-Jun,-2.58E+02,-3.19E+01,-2.65E+02,-2.53E+02,-5.42E+02,-3.62E+02,-5.76000000E+02
2020-Jul,-2.88E+02,-4.34E+01,-2.89E+02,-2.65E+02,-5.68E+02,-3.72E+02,-6.04000000E+02
2020-Aug,-3.13E+02,-1.74E+01,-3.43E+02,-2.31E+02,-6.93E+02,-3.79E+02,-6.31000000E+02
2020-Sep,-3.09E+02,1.68E+00,-3.42E+02,-2.93E+02,-6.41E+02,-3.82E+02,-6.41000000E+02
2020-Oct,-2.92E+02,-3.60E+01,-2.77E+02,-3.11E+02,-5.97E+02,-3.87E+02,-6.13000000E+02
2020-Nov,-2.85E+02,-3.26E+01,-2.91E+02,-2.99E+02,-5.69E+02,-3.52E+02,-6.22000000E+02
2020-Dec,-2.99E+02,-2.31E+01,-2.66E+02,-2.99E+02,-6.10E+02,-3.82E+02,-6.23000000E+02
2021-Jan,-3.05E+02,-2.49E+01,-3.09E+02,-2.96E+02,-6.49E+02,-3.93E+02,-6.46000000E+02
2021-Feb,-3.02E+02,-2.39E+01,-3.07E+02,-2.75E+02,-5.99E+02,-3.68E+02,-6.30000000E+02
2021-Mar,-2.94E+02,5.41E+00,-2.43E+02,-2.83E+02,-6.10E+02,-3.91E+02,-6.64000000E+02
2021-Apr,-2.94E+02,-1.61E+01,-2.84E+02,-2.61E+02,-5.67E+02,-3.78E+02,-6.37000000E+02
2021-May,-3.04E+02,-2.59E+01,-2.78E+02,-2.30E+02,-6.23E+02,-3.78E+02,-6.41000000E+02
2021-Jun,-3.05E+02,-1.19E+01,-3.11E+02,-2.55E+02,-6.02E+02,-3.84E+02,-6.50000000E+02
2021-Jul,-3.18E+02,-3.46E+01,-2.87E+02,-3.44E+02,-5.54E+02,-3.85E+02,-6.49000000E+02
2021-Aug,-3.21E+02,-3.58E+01,-3.61E+02,-2.63E+02,-7.01E+02,-4.12E+02,-6.55000000E+02
2021-Sep,-3.19E+02,-3.51E+01,-3.57E+02,-3.21E+02,-6.63E+02,-3.84E+02,-6.38000000E+02
2021-Oct,-3.16E+02,-2.26E+01,-3.62E+02,-3.14E+02,-7.06E+02,-4.01E+02,-6.46000000E+02
2021-Nov,-3.17E+02,-1.17E+01,-3.75E+02,-2.89E+02,-7.09E+02,-4.09E+02,-6.51000000E+02
2021-Dec,-3.29E+02,-1.25E+01,-4.02E+02,-3.36E+02,-6.48E+02,-3.78E+02,-6.65000000E+02
2022-Feb,-3.06E+02,-2.27E+01,-3.23E+02,-3.48E+02,-6.14E+02,-4.16E+02,-6.53000000E+02
2022-Mar,-2.99E+02,-4.18E+01,-2.87E+02,-3.11E+02,-5.97E+02,-4.06E+02,-6.55000000E+02
2022-Apr,-3.19E+02,-2.50E+01,-2.72E+02,-3.25E+02,-5.98E+02,-4.00E+02,-6.68000000E+02
2022-May,-3.31E+02,-1.42E+01,-2.99E+02,-3.02E+02,-6.41E+02,-4.43E+02,-6.89000000E+02
2022-Jun,-3.32E+02,-1.86E+01,-3.36E+02,-3.19E+02,-6.15E+02,-4.19E+02,-6.90000000E+02
2022-Jul,-3.12E+02,-4.21E+01,-3.74E+02,-3.21E+02,-6.18E+02,-4.05E+02,-6.82000000E+02
2022-Aug,-3.32E+02,-6.70E+00,-3.33E+02,-3.51E+02,-6.70E+02,-4.49E+02,-7.05000000E+02
2022-Sep,-3.39E+02,-1.88E+01,-3.77E+02,-3.67E+02,-6.32E+02,-4.24E+02,-7.09000000E+02
2022-Oct,-3.46E+02,-1.05E+01,-3.32E+02,-3.49E+02,-7.28E+02,-4.68E+02,-7.08000000E+02
2022-Nov,-3.41E+02,1.07E+01,-3.78E+02,-3.26E+02,-7.39E+02,-4.28E+02,-7.13000000E+02
2022-Dec,-3.32E+02,-5.17E+01,-3.62E+02,-3.45E+02,-7.01E+02,-4.01E+02,-6.75000000E+02
2023-Jan,-3.32E+02,-2.66E+01,-3.96E+02,-3.30E+02,-6.93E+02,-3.86E+02,-6.79000000E+02
2023-Feb,-3.40E+02,3.32E+00,-3.47E+02,-3.21E+02,-6.91E+02,-4.20E+02,-7.05000000E+02
2023-Mar,-3.29E+02,-2.18E+01,-3.71E+02,-3.52E+02,-6.26E+02,-3.75E+02,-6.99000000E+02
2023-Apr,-3.40E+02,-3.84E+01,-2.95E+02,-3.97E+02,-6.16E+02,-3.86E+02,-7.07000000E+02
2023-May,-3.26E+02,-2.29E+01,-3.44E+02,-3.34E+02,-6.83E+02,-4.16E+02,-7.08000000E+02
2023-Jun,-3.18E+02,-4.49E+01,-2.86E+02,-3.48E+02,-6.49E+02,-4.10E+02,-6.91000000E+02
2023-Jul,-3.46E+02,-3.91E+01,-3.24E+02,-3.88E+02,-6.28E+02,-3.91E+02,-6.89000000E+02
2023-Aug,-3.72E+02,-4.88E+01,-3.41E+02,-3.94E+02,-7.80E+02,-4.40E+02,-7.26000000E+02
2023-Sep,-3.83E+02,-6.58E+01,-4.46E+02,-3.71E+02,-8.05E+02,-3.92E+02,-7.05000000E+02
2023-Oct,-3.79E+02,-6.58E+01,-3.92E+02,-4.13E+02,-7.89E+02,-4.03E+02,-7.14000000E+02
2023-Nov,-3.67E+02,-5.25E+01,-3.97E+02,-3.46E+02,-7.82E+02,-3.91E+02,-7.20000000E+02
2023-Dec,-3.64E+02,-2.70E+01,-3.92E+02,-3.75E+02,-7.33E+02,-3.94E+02,-7.35000000E+02
2024-Jan,-3.67E+02,-2.21E+01,-4.15E+02,-3.87E+02,-6.85E+02,-3.82E+02,-7.33000000E+02
2024-Feb,-3.64E+02,-1.17E+01,-4.17E+02,-3.51E+02,-7.27E+02,-3.84E+02,-7.41000000E+02
2024-Mar,-3.55E+02,-4.60E+01,-3.75E+02,-3.95E+02,-6.79E+02,-3.76E+02,-7.34000000E+02
2024-Apr,-3.61E+02,-2.25E+01,-3.73E+02,-3.70E+02,-7.16E+02,-4.16E+02,-7.40000000E+02
2024-May,-3.45E+02,-2.77E+01,-4.15E+02,-3.47E+02,-6.96E+02,-3.70E+02,-7.39000000E+02
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Short Date (month : year),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Grand Total,-71.45224034,-3.795133047,-22.57376438,-32.98467811,-132.4885408,-90.72279399,-146.4881399